,name,genres,minimum,recommended,release_date,developer,publisher,overall_player_rating,reviews,english_reviews
0,Black Myth: Wukong,"['Mythology', 'Action RPG', 'Action', 'RPG', 'Souls-like', 'Combat', 'Story Rich', 'Singleplayer', 'Drama', 'Action-Adventure', 'Dark Fantasy', 'Atmospheric', 'Adventure', '3D', 'Fantasy', 'Hack and Slash', 'Third Person', 'Difficult', 'Music', 'Violent']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64-bit', 'Processor: Intel Core i5-8400 / AMD Ryzen 5 1600', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce GTX 1060 6GB / AMD Radeon RX 580 8GB', 'DirectX: Version 11', 'Storage: 130 GB available space', 'Sound Card: Windows Compatible Audio Device', 'Additional Notes: HDD Supported, SSD Recommended. The above specifications were tested with DLSS/FSR/XeSS enabled.']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64-bit', 'Processor: Intel Core i7-9700 / AMD Ryzen 5 5500', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce RTX 2060 / AMD Radeon RX 5700 XT / INTEL Arc A750', 'DirectX: Version 12', 'Storage: 130 GB available space', 'Sound Card: Windows Compatible Audio Device', 'Additional Notes: SSD Required. The above specifications were tested with DLSS/FSR/XeSS enabled.']","19 Aug, 2024",['Game Science'],['Game Science'],1.0,"(654,820)","51,931"
1,Counter-Strike 2,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']","['OS: Windows® 10', 'Processor: 4 hardware CPU threads - Intel® Core™ i5 750 or higher', 'Memory: 8 GB RAM', 'Graphics: Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0', 'DirectX: Version 11', 'Storage: 85 GB available space']","['OS: Windows® 10', 'Processor: 4 hardware CPU threads - Intel® Core™ i5 750 or higher', 'Memory: 8 GB RAM', 'Graphics: Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0', 'DirectX: Version 11', 'Storage: 85 GB available space']","21 Aug, 2012",['Valve'],['Valve'],2.0,"(8,313,603)","2,258,990"
2,"Warhammer 40,000: Space Marine 2","['Warhammer 40K', 'Action', 'Third-Person Shooter', 'Adventure', 'Multiplayer', 'Action-Adventure', 'PvE', 'Co-op', 'Third Person', 'Wargame', 'Sci-fi', '3D', 'Narration', 'Fantasy', 'Space', 'War', 'Realistic', 'Singleplayer', 'Cinematic', 'Futuristic']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 (1903 min)/11 64-bit', 'Processor: AMD Ryzen 5 2600X / Intel Core i5-8600K', 'Memory: 8 GB RAM', 'Graphics: 6 GB VRAM, AMD Radeon RX 580 / Nvidia GeForce GTX 1060', 'DirectX: Version 12', 'Storage: 75 GB available space', 'Additional Notes: SSD required. 30 FPS in 1920x1080 with ""Low"" preset.']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 (1903 min)/11 64-bit', 'Processor: AMD Ryzen 7 5800X / Intel Core i7-12700', 'Memory: 16 GB RAM', 'Graphics: 8 GB VRAM, AMD Radeon RX 6800 XT / Nvidia GeForce RTX 3070', 'DirectX: Version 12', 'Storage: 75 GB available space', 'Additional Notes: SSD required. 60 FPS in 1920x1080 with the ""Ultra"" preset.']","9 Sep, 2024",['Saber Interactive'],['Focus Entertainment'],2.0,"(81% of 62,791) All Time","51,920"
3,Cyberpunk 2077,"['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer', 'Sci-fi', 'Futuristic', 'FPS', 'Mature', 'Story Rich', 'First-Person', 'Atmospheric', 'Exploration', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Character Customization', 'Immersive Sim']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Core i7-6700 or Ryzen 5 1600', 'Memory: 12 GB RAM', 'Graphics: GeForce GTX 1060 6GB or Radeon RX 580 8GB or Arc A380', 'DirectX: Version 12', 'Storage: 70 GB available space', 'Additional Notes: SSD required. Attention: In this game you will encounter a variety of visual effects that may provide seizures or loss of consciousness in a minority of people. If you or someone you know experiences any of the above symptoms while playing, stop and seek medical attention immediately.']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Core i7-12700 or Ryzen 7 7800X3D', 'Memory: 16 GB RAM', 'Graphics: GeForce RTX 2060 SUPER or Radeon RX 5700 XT or Arc A770', 'DirectX: Version 12', 'Storage: 70 GB available space', 'Additional Notes: SSD required.']","10 Dec, 2020",['CD PROJEKT RED'],['CD PROJEKT RED'],2.0,"(680,264)","324,124"
4,ELDEN RING,"['Souls-like', 'Dark Fantasy', 'Open World', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'PvP', 'Atmospheric', 'Great Soundtrack', 'Violent', '3D', 'Character Customization', 'Family Friendly']","['Requires a 64-bit processor and operating system', 'OS: Windows 10', 'Processor: INTEL CORE I5-8400 or AMD RYZEN 3 3300X', 'Memory: 12 GB RAM', 'Graphics: NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB', 'DirectX: Version 12', 'Storage: 60 GB available space', 'Sound Card: Windows Compatible Audio Device', 'Additional Notes:']","['Requires a 64-bit processor and operating system', 'OS: Windows 10/11', 'Processor: INTEL CORE I7-8700K or AMD RYZEN 5 3600X', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GB', 'DirectX: Version 12', 'Storage: 60 GB available space', 'Sound Card: Windows Compatible Audio Device', 'Additional Notes:']","25 Feb, 2022","['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']",2.0,"(705,261)","491,741"
5,PUBG: BATTLEGROUNDS,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Intel Core i5-4430 / AMD FX-6300', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 40 GB available space']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Intel Core i5-6600K / AMD Ryzen 5 1600', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 50 GB available space']","21 Dec, 2017",['PUBG Corporation'],"['KRAFTON, Inc.']",5.0,"(2,432,683)","417,109"
6,Apex Legends™,"['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Survival', 'Loot', 'Character Customization', 'Funny', 'Co-op', 'Lore-Rich', 'Cyberpunk', 'Cinematic']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: AMD FX 4350 or Equivalent, Intel Core i3 6300 or Equivalent', 'Memory: 6 GB RAM', 'Graphics: AMD Radeon™ HD 7730, NVIDIA GeForce® GT 640', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 75 GB available space', 'Additional Notes: ~3.8GB for 1 localized language']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Ryzen 5 CPU or Equivalent', 'Memory: 8 GB RAM', 'Graphics: AMD Radeon™ R9 290, NVIDIA GeForce® GTX 970', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 75 GB available space', 'Additional Notes: ~3.8GB for 1 localized language']","4 Nov, 2020",['Respawn'],['Electronic Arts'],5.0,"(948,818)","406,269"
7,Dota 2,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']","['OS *: Windows 7 or newer', 'Processor: Dual core from Intel or AMD at 2.8 GHz', 'Memory: 4 GB RAM', 'Graphics: NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 60 GB available space', 'Sound Card: DirectX Compatible']","['OS *: Windows 7 or newer', 'Processor: Dual core from Intel or AMD at 2.8 GHz', 'Memory: 4 GB RAM', 'Graphics: NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 60 GB available space', 'Sound Card: DirectX Compatible']","9 Jul, 2013",['Valve'],['Valve'],2.0,"(2,322,723)","731,670"
8,Party Animals,"['Casual', 'Multiplayer', 'Funny', 'Cute', 'Party Game', 'Fighting', 'Action', 'PvP', 'Co-op', 'Party', 'Family Friendly', 'Online Co-Op', 'Local Multiplayer', 'Physics', '3D Fighter', '4 Player Local', 'Indie', 'Local Co-Op', 'Team-Based', 'Action-Adventure']","['Requires a 64-bit processor and operating system', 'OS: Windows 10, 64-bit / Windows 11, 64-bit', 'Processor: Intel Core i5 / AMD equivalent', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GTX 750-Ti / AMD RX 550, 2GB VRam', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 8 GB available space']","['Requires a 64-bit processor and operating system', 'OS: Windows 10, 64-bit / Windows 11, 64-bit', 'Processor: Intel Core i5 7500K / AMD equivalent', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GTX 1060 / AMD RX 580, 4GB VRam / Intel Arc A380', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 8 GB available space']","20 Sep, 2023",['Recreate Games'],['Source Technology'],3.0,"(38,225)","16,141"
9,Total War: WARHAMMER III,"['Strategy', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Fantasy', 'Real Time Tactics', 'War', 'Dark Fantasy', 'Action', 'Tactical', 'Atmospheric', 'Dwarf', 'Games Workshop', 'Multiplayer', 'Colorful', 'Co-op', 'PvP', 'Singleplayer', 'Story Rich', 'Online Co-Op']","['OS *: Windows 7 64-bit', 'Processor: Intel i3/Ryzen 3 series', 'Memory: 6 GB RAM', 'Graphics: Nvidia GTX 900/AMD RX 400 series | Intel Iris Xe Graphics', 'DirectX: Version 11', 'Storage: 120 GB available space', 'Additional Notes: This game may be updated over time and have paid for and free. additional content released for it. Please be aware that this may increase the minimum requirements for running the game above the specification stated here.']","['OS: Windows 10 64-bit', 'Processor: Intel i5/Ryzen 5 series', 'Memory: 8 GB RAM', 'Graphics: Nvidia GeForce GTX 1660 Ti/AMD RX 5600-XT/Intel Arc A750', 'DirectX: Version 11', 'Storage: 120 GB available space', 'Additional Notes: 8GB Memory if using integrated GPU.']","16 Feb, 2022","['CREATIVE ASSEMBLY', 'Feral Interactive']","['SEGA', 'Feral Interactive']",5.0,"(75,474)","61,292"
